Class,no of chars,No of capitalised words,No of words with all caps,Single digits,more than one Digits,single letters,only letters,letters and numbers,single chars,Ratio to upper to lower chars,Ratio of upper to all chars,Ratio of Digits to all chars,Ration of non alphanumeric to all chars,Count of max repeating char,max of character lengths,minimum char diversity
0,55,2,0,0,0,0,1,0,0,0.08108108108108109,0.05454545454545454,0.05454545454545454,0.21818181818181817,1,15,1.6666666666666667
0,31,4,0,0,0,0,2,0,0,0.2777777777777778,0.16129032258064516,0.0,0.25806451612903225,1,8,1.75
0,28,1,0,0,0,0,1,0,0,0.11764705882352941,0.07142857142857142,0.0,0.32142857142857145,3,8,1.8571428571428572
0,13,2,0,0,0,0,0,0,0,0.5,0.23076923076923078,0.0,0.3076923076923077,1,8,1.25
0,73,5,2,0,0,0,0,1,0,0.36363636363636365,0.1643835616438356,0.1095890410958904,0.273972602739726,2,25,1.56
0,82,4,0,0,0,0,4,0,0,0.2222222222222222,0.12195121951219512,0.07317073170731707,0.25609756097560976,4,12,2.75
0,35,2,0,0,0,0,1,1,0,0.13636363636363635,0.08571428571428572,0.05714285714285714,0.22857142857142856,1,8,1.75
0,26,2,0,0,0,0,2,0,1,0.3,0.11538461538461539,0.11538461538461539,0.38461538461538464,1,7,2.142857142857143
0,44,5,0,0,0,0,2,0,0,0.2692307692307692,0.1590909090909091,0.0,0.25,1,10,2.0
0,111,4,0,0,0,0,14,0,0,0.06578947368421052,0.04504504504504504,0.0,0.2702702702702703,4,12,3.5
0,45,5,0,0,0,0,1,1,0,0.42105263157894735,0.17777777777777778,0.06666666666666667,0.3333333333333333,2,10,2.3
0,44,5,2,0,0,0,4,0,0,0.34782608695652173,0.18181818181818182,0.045454545454545456,0.25,1,10,2.1
0,45,5,0,0,0,0,1,1,0,0.42105263157894735,0.17777777777777778,0.06666666666666667,0.3333333333333333,2,10,2.3
0,25,3,1,0,0,0,3,0,0,0.5,0.24,0.0,0.28,2,8,1.625
0,53,7,1,0,0,0,7,0,0,0.3548387096774194,0.20754716981132076,0.0,0.20754716981132076,2,9,2.125
0,59,4,0,1,1,0,2,0,1,0.15625,0.0847457627118644,0.1016949152542373,0.2711864406779661,2,17,1.8823529411764706
0,36,3,0,0,0,0,3,0,0,0.16,0.1111111111111111,0.0,0.19444444444444445,1,10,1.625
0,47,6,0,0,0,0,2,0,0,0.2962962962962963,0.1702127659574468,0.0,0.2553191489361702,1,10,2.1
0,42,2,1,0,0,0,1,0,0,0.19047619047619047,0.09523809523809523,0.14285714285714285,0.2619047619047619,1,11,1.8888888888888888
0,32,3,0,0,0,0,3,0,0,0.17391304347826086,0.125,0.0,0.15625,2,12,1.375
0,53,3,0,0,0,0,6,0,0,0.10256410256410256,0.07547169811320754,0.0,0.18867924528301888,2,8,2.0
0,53,3,1,0,0,0,6,0,0,0.13157894736842105,0.09433962264150944,0.0,0.18867924528301888,2,8,2.0
0,53,3,0,0,0,0,6,0,0,0.10256410256410256,0.07547169811320754,0.0,0.18867924528301888,2,8,2.0
0,47,7,3,0,0,0,5,0,0,0.46153846153846156,0.2553191489361702,0.0,0.19148936170212766,1,13,1.6923076923076923
0,51,8,3,0,0,0,5,0,0,0.48148148148148145,0.2549019607843137,0.0,0.21568627450980393,1,13,1.8461538461538463
0,39,2,0,0,0,0,3,0,0,0.14285714285714285,0.07692307692307693,0.07692307692307693,0.3076923076923077,1,8,2.25
0,51,8,3,0,0,0,5,0,0,0.48148148148148145,0.2549019607843137,0.0,0.21568627450980393,1,13,1.8461538461538463
0,41,3,0,0,0,0,3,0,0,0.14285714285714285,0.0975609756097561,0.0,0.21951219512195122,2,8,1.875
0,46,1,0,0,0,0,6,0,0,0.05555555555555555,0.043478260869565216,0.0,0.17391304347826086,1,9,1.857142857142857
0,53,3,0,0,0,0,6,0,0,0.10256410256410256,0.07547169811320754,0.0,0.18867924528301888,2,8,2.0
0,48,4,1,0,0,0,7,0,0,0.21875,0.14583333333333334,0.0,0.1875,2,8,1.875
0,48,5,0,1,0,0,5,0,1,0.20689655172413793,0.125,0.020833333333333332,0.25,2,10,2.2
0,52,5,1,0,0,0,7,0,0,0.24242424242424243,0.15384615384615385,0.0,0.21153846153846154,2,8,2.125
0,48,5,0,1,0,0,5,0,1,0.20689655172413793,0.125,0.020833333333333332,0.25,2,10,2.2
0,25,2,0,0,0,0,1,0,0,0.10526315789473684,0.08,0.0,0.16,1,13,1.0769230769230769
0,34,3,1,0,0,1,5,0,0,0.25,0.14705882352941177,0.0,0.2647058823529412,2,8,1.875
0,35,2,0,0,0,0,4,0,0,0.125,0.08571428571428572,0.0,0.22857142857142856,2,7,1.857142857142857
0,35,2,0,0,0,0,4,0,0,0.125,0.08571428571428572,0.0,0.22857142857142856,2,7,1.857142857142857
0,80,3,0,0,0,0,12,0,0,0.07407407407407407,0.05,0.0,0.275,4,8,3.5
0,62,5,0,0,0,0,2,0,0,0.2,0.12903225806451613,0.0,0.22580645161290322,2,20,1.6
0,84,5,1,0,0,0,4,1,1,0.2391304347826087,0.13095238095238096,0.047619047619047616,0.27380952380952384,2,17,2.1764705882352944
0,18,2,0,0,0,0,0,0,0,0.375,0.16666666666666666,0.0,0.3888888888888889,1,7,1.7142857142857142
0,22,2,1,0,0,0,3,0,0,0.4166666666666667,0.22727272727272727,0.0,0.22727272727272727,2,8,1.375
0,42,6,0,0,0,0,3,0,1,0.2916666666666667,0.16666666666666666,0.0,0.2619047619047619,2,8,2.125
0,17,2,1,0,0,0,0,0,0,0.5714285714285714,0.23529411764705882,0.0,0.35294117647058826,1,7,1.5714285714285712
0,74,3,0,0,0,0,5,0,1,0.14,0.0945945945945946,0.0,0.22972972972972974,4,14,2.142857142857143
0,18,2,0,0,0,0,0,0,0,0.375,0.16666666666666666,0.0,0.3888888888888889,1,7,1.7142857142857142
0,48,2,0,0,0,0,2,0,0,0.09375,0.0625,0.0625,0.20833333333333334,2,16,1.5625
0,76,5,0,0,0,0,8,1,0,0.15555555555555556,0.09210526315789473,0.06578947368421052,0.25,4,12,2.583333333333333
0,67,4,0,0,0,1,5,0,0,0.11363636363636363,0.07462686567164178,0.04477611940298507,0.22388059701492538,2,15,1.9333333333333333
0,45,3,0,0,0,0,4,0,0,0.14285714285714285,0.08888888888888889,0.06666666666666667,0.2222222222222222,2,9,2.111111111111111
0,44,2,0,0,0,0,3,0,0,0.10714285714285714,0.06818181818181818,0.09090909090909091,0.20454545454545456,2,9,2.0
0,23,3,0,0,0,0,1,0,0,0.3333333333333333,0.17391304347826086,0.0,0.30434782608695654,1,8,1.625
0,42,2,1,0,0,0,4,0,0,0.13333333333333333,0.09523809523809523,0.0,0.19047619047619047,1,8,1.75
0,31,2,1,0,0,0,1,0,0,0.2,0.12903225806451613,0.0,0.22580645161290322,1,10,1.6
0,52,4,0,0,0,0,2,0,0,0.1875,0.11538461538461539,0.0,0.2692307692307692,2,10,2.3
0,22,2,0,0,0,0,2,0,0,0.2,0.13636363636363635,0.0,0.18181818181818182,1,8,1.25
0,74,7,2,0,0,0,2,0,0,0.6551724137931034,0.25675675675675674,0.05405405405405406,0.2972972972972973,4,12,2.75
